,years_of_exp,degree,fields,skills,languages
407,0,Bachelors,"floral design, teaching, entrepreneurship
* skills: instruction, inventory, market, pricing, purchasing, floral design, mixology","instruction, inventory, market, pricing, purchasing, floral design, mixology",not specified
408,11,None,"education, food service, sales, office administration
* skills: people skills, problem-solving, organizational skills","people skills, problem-solving, organizational skills",not mentioned
409,11,Masters,"art education, community education, student council, enrichment & pool coordination
* skills: administrative, brochures, budgets, conferences, hiring, instructing, leadership, director, managing, marketing, meetings, motivating, organizing, recruiting, reporting, safety, supervising, training programs, workshops/seminars","administrative, brochures, budgets, conferences, hiring, instructing, leadership, director, managing, marketing, meetings, motivating, organizing, recruiting, reporting, safety, supervising, training programs, workshops/seminars",not specified
410,12,Masters,"education, special needs, early childhood, case management
* skills: bilingual (english and spanish), teamwork, attention to detail, multitasking, writing, listening, communication","bilingual (english and spanish), teamwork, attention to detail, multitasking, writing, listening, communication","english, spanish"
411,0,Masters,"education, coaching, athletic administration
* skills: games, increase, recruitment, associate, budget, fundraising, health and wellness, liaison, recruiting, arrangements, exchange, progress, team player, travel arrangements, field operations, operations, packing, program manager, purchase orders, vouchers, coaching","games, increase, recruitment, associate, budget, fundraising, health and wellness, liaison, recruiting, arrangements, exchange, progress, team player, travel arrangements, field operations, operations, packing, program manager, purchase orders, vouchers, coaching",not specified
412,17,Masters,"education, special education, science teaching
* skills: microsoft office, lesson planning, tutoring, standardized testing, iep familiarity, differentiated instruction, technology driven instruction","microsoft office, lesson planning, tutoring, standardized testing, iep familiarity, differentiated instruction, technology driven instruction",not specified
413,10,Masters,"education, recreation
* skills: interpersonal, smart board, microsoft office, photography editing","interpersonal, smart board, microsoft office, photography editing",spanish
414,0,Bachelors,"education, administration, sales
* skills: typing, professional phone etiquette, excellent communication skills, database management, articulate and well-spoken, customer service-oriented, works well under pressure, human resource laws knowledge, appointment setting, team building, accounting familiarity, payroll, invoice processing, conference planning, flexible, accurate and detailed, excellent planner and coordinator","typing, professional phone etiquette, excellent communication skills, database management, articulate and well-spoken, customer service-oriented, works well under pressure, human resource laws knowledge, appointment setting, team building, accounting familiarity, payroll, invoice processing, conference planning, flexible, accurate and detailed, excellent planner and coordinator",not specified
415,14,None,"early childhood education, head start programs
* skills: patience, communication, classroom management, behavior management, child development","patience, communication, classroom management, behavior management, child development",not specified
416,13,Bachelors,"special education, substitute teaching
* skills: behavior modeling, video conferencing, smartboard technology, google classroom & aries, activity planning, compliance, technology savvy, proctoring, individualized care, quizzes, tests and exams, classroom discipline, effective listening, tutoring and after school help, interdisciplinary teaching, cpr/first-aid certified, behavioral/cognitive skills development, team collaboration, positive student engagement, behavior modification, special needs students, mediation and advocacy talent","behavior modeling, video conferencing, smartboard technology, google classroom & aries, activity planning, compliance, technology savvy, proctoring, individualized care, quizzes, tests and exams, classroom discipline, effective listening, tutoring and after school help, interdisciplinary teaching, cpr/first-aid certified, behavioral/cognitive skills development, team collaboration, positive student engagement, behavior modification, special needs students, mediation and advocacy talent",not mentioned
417,14,Bachelors,"education, youth development, community outreach, volunteer management
* skills: self-direction, team player, trouble shooting, record keeping, problem solving, leadership, time management, customer service, presentations, researching, supervisory skills, keyboard, basic computer skills, ten key","self-direction, team player, trouble shooting, record keeping, problem solving, leadership, time management, customer service, presentations, researching, supervisory skills, keyboard, basic computer skills, ten key",not specified
418,28,Masters,"education, teaching
* skills: microsoft office, conflict resolution, iep familiarity, organization/planning, first aid and bls cpr training, positive learning environment, student-centered learning, lesson planning, classroom management, grading procedures, technology integration, punctual, inquiry-based learning, test proctoring","microsoft office, conflict resolution, iep familiarity, organization/planning, first aid and bls cpr training, positive learning environment, student-centered learning, lesson planning, classroom management, grading procedures, technology integration, punctual, inquiry-based learning, test proctoring",not specified
419,25,Bachelors,"education, it, administration
* skills: behavior modeling, compliance, leadership, teambuilding, work ethic, multitasking, active listening, troubleshooting, individualized care, multi-line telephone skills, office equipment operations, organization and efficiency, meticulous and organized, security understanding","behavior modeling, compliance, leadership, teambuilding, work ethic, multitasking, active listening, troubleshooting, individualized care, multi-line telephone skills, office equipment operations, organization and efficiency, meticulous and organized, security understanding",not specified
420,11,Masters,"education, office administration, publishing
* skills: communication, problem-solving, team leadership, relationship-building, microsoft office","communication, problem-solving, team leadership, relationship-building, microsoft office","french, english"
421,9,Bachelors,"preschool teaching, customer service, hospitality, education, child care
* skills: ms office, interpersonal communication, planning and coordination, basic math, english, turkish","ms office, interpersonal communication, planning and coordination, basic math, english, turkish","turkish (native), english (native/bilingual)"
422,30,PhD,"education, military police
* skills: instructional reading, culturally responsive teaching, lesson planning, teamwork, collaboration, learning styles, technology integration","instructional reading, culturally responsive teaching, lesson planning, teamwork, collaboration, learning styles, technology integration",not specified
423,25,Bachelors,"early childhood education, special education
* skills: classroom management, creation of forms, payroll, schedule activities, snack/meal planning, knowledge of excel, word, power point, work within a budget","classroom management, creation of forms, payroll, schedule activities, snack/meal planning, knowledge of excel, word, power point, work within a budget",not specified
424,8,None,"education, psychology, tutoring
* skills: conducted peer council, assigned books, supported students, engaged students, instructed personalized lesson plans, critiqued student projects, developed problem-solving skills, managed database, provided logistical support, attended classroom audits","conducted peer council, assigned books, supported students, engaged students, instructed personalized lesson plans, critiqued student projects, developed problem-solving skills, managed database, provided logistical support, attended classroom audits",not specified
425,23,Masters,"education, business, administration
* skills: accounts payable, advertising, bookkeeping, budgets, charts, customer service, financial reporting, payroll, spreadsheets, kind and empathetic, self-motivated, strong written and verbal communicator, positive and encouraging, standardized testing scoring, fast learner, dibels knowledge, strong background in mathematics","accounts payable, advertising, bookkeeping, budgets, charts, customer service, financial reporting, payroll, spreadsheets, kind and empathetic, self-motivated, strong written and verbal communicator, positive and encouraging, standardized testing scoring, fast learner, dibels knowledge, strong background in mathematics",not specified
426,8,Masters,"education, cash office, receptionist/physical therapy assistant
* skills: word, excel, powerpoint, mathematica, prezi, youtube, wiki pages, popplet, microsoft programs, arabic","word, excel, powerpoint, mathematica, prezi, youtube, wiki pages, popplet, microsoft programs, arabic","arabic, english"
427,18,Bachelors,"education, sales, business development, operations, insurance
* skills: agency, budgeting, business strategy, closing, cold calling, interpersonal, communication, contracts, critical thinking, client relations, customer service, databases, ftp, hr, insurance, leadership, legal, marketing, meetings, mergers and acquisitions, organizational, policies, executive presentations, problem solver, process improvement, progress, proposals, quality assurance, recruitment, sales, spanish, strategic marketing, supervision, time management, vendor relations, website, written","agency, budgeting, business strategy, closing, cold calling, interpersonal, communication, contracts, critical thinking, client relations, customer service, databases, ftp, hr, insurance, leadership, legal, marketing, meetings, mergers and acquisitions, organizational, policies, executive presentations, problem solver, process improvement, progress, proposals, quality assurance, recruitment, sales, spanish, strategic marketing, supervision, time management, vendor relations, website, written","english, spanish"
428,7,None,"childcare, education, nanny
* skills: positive reinforcement methods, professional babysitter and nanny, qualified tutor, etc.","positive reinforcement methods, professional babysitter and nanny, qualified tutor, etc.",not mentioned
429,16,Masters,"education, administration, management
* skills: meticulous attention to detail, professional communication, conflict resolution techniques, strong problem solver, account reconciliations, cost accounting, flexible and adaptive, intimate knowledge of school system","meticulous attention to detail, professional communication, conflict resolution techniques, strong problem solver, account reconciliations, cost accounting, flexible and adaptive, intimate knowledge of school system",not specified
430,15,Masters,"education, coaching
* skills: highly effective teacher, motivator, innovator, successful leader, classroom discipline, classroom management, creative lesson planning, public speaking, active learning","highly effective teacher, motivator, innovator, successful leader, classroom discipline, classroom management, creative lesson planning, public speaking, active learning",not mentioned
431,12,Bachelors,"education, administration, military, youth development
* skills: apple and windows programs, microsoft office suite, internet proficiency, social media, organizational skills","apple and windows programs, microsoft office suite, internet proficiency, social media, organizational skills",not specified
432,11,Bachelors,"biology, education, clinical laboratory, quality control
* skills: anatomy, aseptic techniques, biology, calculators, calibration, content, credit, database, department of health, dna, educator, english, equipment maintenance, forms, good laboratory practices, instruction, interpretation, laboratory procedures, laboratory tests, lesson plans, director, materials, money, pathology, pcr, physiology i, progress, qa, real-time, reporting, research, selling, statistics, teaching, technician, troubleshoot, workshops","anatomy, aseptic techniques, biology, calculators, calibration, content, credit, database, department of health, dna, educator, english, equipment maintenance, forms, good laboratory practices, instruction, interpretation, laboratory procedures, laboratory tests, lesson plans, director, materials, money, pathology, pcr, physiology i, progress, qa, real-time, reporting, research, selling, statistics, teaching, technician, troubleshoot, workshops",not specified
433,16,None,"administration, education, law, sales, media
* skills: microsoft office, transcription, proofing, budgeting, business development, scheduling, drafting, powerpoint, online research, proposals, file maintenance, record keeping, public relations, travel scheduling, excel","microsoft office, transcription, proofing, budgeting, business development, scheduling, drafting, powerpoint, online research, proposals, file maintenance, record keeping, public relations, travel scheduling, excel",not specified
434,27,Masters,"education, hospitality, customer service
* skills: academic planning, administrative skills, case management, clerical, documentation and shorthand, research, lesson planning, newsletter development, coding and filing","academic planning, administrative skills, case management, clerical, documentation and shorthand, research, lesson planning, newsletter development, coding and filing",not specified
435,10,Masters,"education, youth work, mechanic, baggage handling
* skills: computer literate, valid texas driver's license/insurance, great communication and note-taking skills","computer literate, valid texas driver's license/insurance, great communication and note-taking skills",not specified
436,20,Masters,"education, instructional design, classroom teaching, curriculum development, astrophysics education
* skills: content development, curriculum development, databases, event planning, grants, instruction, logic, materials development, math, organizational, policies, program evaluation, programming, proposal writing, research, strategic planning, supervision, trend analysis, usability testing, website development, workshops","content development, curriculum development, databases, event planning, grants, instruction, logic, materials development, math, organizational, policies, program evaluation, programming, proposal writing, research, strategic planning, supervision, trend analysis, usability testing, website development, workshops",not specified
437,0,PhD,"education, disaster services, delivery, child care, fitness, coaching
* skills: administrative, arts, basic, coach, customer service, inspect, instruction, inventory, laundry, meal prep, personnel, read, safety, scheduling, shipping, supervision, teaching","administrative, arts, basic, coach, customer service, inspect, instruction, inventory, laundry, meal prep, personnel, read, safety, scheduling, shipping, supervision, teaching",not specified
438,20,Masters,"engineering, education, cad management, project management, mechanical engineering, architectural drafting, civil engineering
* skills: proficient in various software including autocad, autodesk civil 3d, autodesk inventor pro, autodesk revit, gis, construction cost estimating, hvac design, and others","proficient in various software including autocad, autodesk civil 3d, autodesk inventor pro, autodesk revit, gis, construction cost estimating, hvac design, and others",not specified
439,12,Bachelors,"government relations, educational law, advocacy, health law, public policy, human rights, foreign affairs
* skills: training, liaison, federal government, public policy","training, liaison, federal government, public policy",german
440,18,Masters,"customer service, business banking, life enrichment, marketing
* skills: microsoft office, microsoft excel, microsoft word, microsoft outlook, microsoft power point, data entry, communication, problem resolution, customer service, research, sales","microsoft office, microsoft excel, microsoft word, microsoft outlook, microsoft power point, data entry, communication, problem resolution, customer service, research, sales",not specified
441,11,Bachelors,"human resources, training and development, coaching, mentoring, conflict resolution, leadership development
* skills: benefits, coaching, conflict resolution, consultant, consulting, counseling, clients, documentation, focus, forms, hr, instructor, leadership, materials, meetings, mentor, mentoring, multimedia, organizational, payroll, policies, processes, quality, quick, six sigma, strategic, teaching, employee development, training programs","benefits, coaching, conflict resolution, consultant, consulting, counseling, clients, documentation, focus, forms, hr, instructor, leadership, materials, meetings, mentor, mentoring, multimedia, organizational, payroll, policies, processes, quality, quick, six sigma, strategic, teaching, employee development, training programs",not specified
442,8,Bachelors,"education, donor relations, team leadership
* skills: detail-oriented, effective time management, strong written and oral communication skills, strategic thinker, goal-oriented, relationship building, crm experience, salesforce software","detail-oriented, effective time management, strong written and oral communication skills, strategic thinker, goal-oriented, relationship building, crm experience, salesforce software",not mentioned
443,7,Bachelors,"health advocacy, security, maintenance, education
* skills: public safety, administrative support, proficient in lytec, proficient in gsuite, patient rights, data entry, time management, problem-solving skills, decision-making abilities, crisis intervention, crisis communication","public safety, administrative support, proficient in lytec, proficient in gsuite, patient rights, data entry, time management, problem-solving skills, decision-making abilities, crisis intervention, crisis communication",not mentioned
444,11,Bachelors,"social work, child welfare, sales
* skills: child care, council, government, meetings, money, progress, sales, social services, staffing","child care, council, government, meetings, money, progress, sales, social services, staffing",not specified
445,18,Bachelors,"customer service, administration, accounting, retail banking, illustration, photography, graphic design
* skills: microsoft office suite, peachtree accounting, spreadsheet development, schedule management, telephone skills, scheduling, travel booking, minute taking, customer service, critical thinking, creative problem solving, cellular expert, troubleshooting","microsoft office suite, peachtree accounting, spreadsheet development, schedule management, telephone skills, scheduling, travel booking, minute taking, customer service, critical thinking, creative problem solving, cellular expert, troubleshooting",not specified
446,7,None,"patient advocacy, tax preparation, office management
* skills: fast data entry, spreadsheet tables preparation, processing financial forms, customer service, making fast strategic decisions","fast data entry, spreadsheet tables preparation, processing financial forms, customer service, making fast strategic decisions","english (good), spanish (excellent)"
447,24,None,"consumer advocacy, customer service, insurance, travel sales, underwriting, administrative assistance
* skills: client relations, multi-task management, computer proficient, project management, creative problem solving, customer needs assessment, customer satisfaction, customer service, reports creation, associate supervision, clerical skills","client relations, multi-task management, computer proficient, project management, creative problem solving, customer needs assessment, customer satisfaction, customer service, reports creation, associate supervision, clerical skills",not specified
448,15,Masters,"education, mental health, youth advocacy
* skills: mental health, excel, powerpoint, windows, microsoft word, quality teaching","mental health, excel, powerpoint, windows, microsoft word, quality teaching",not specified
449,8,None,"patient advocacy, medical assisting, customer service, cashiering, credit education, medical coding
* skills: answering, credit, customer inquiries, customer service, problem solving, receptionist, retail sales, cash, cashier, auditing, scheduling, medical assistant, medical coding, cpr, data entry, excel, filing, outlook, word","answering, credit, customer inquiries, customer service, problem solving, receptionist, retail sales, cash, cashier, auditing, scheduling, medical assistant, medical coding, cpr, data entry, excel, filing, outlook, word",not specified
450,20,Masters,"healthcare administration, human resources, office support, operations
* skills: acquisitions, agency, billing, billings, clerical, coach, coaching, clients, email, senior management, filing, financial, hiring, human resources, hr, information security, letters, mailing, materials, mba, meetings, mentor, mentoring, access, powerpoint, share point, windows xp, microsoft word, networking, pos, presentations, progress, scanning, supervisor, excel, generating reports, myrounding application and press ganey","acquisitions, agency, billing, billings, clerical, coach, coaching, clients, email, senior management, filing, financial, hiring, human resources, hr, information security, letters, mailing, materials, mba, meetings, mentor, mentoring, access, powerpoint, share point, windows xp, microsoft word, networking, pos, presentations, progress, scanning, supervisor, excel, generating reports, myrounding application and press ganey",not specified
451,7,None,"community advocacy, human resources, exhibit creation
* skills: filing, professional and friendly, careful and active listener, multi-tasking","filing, professional and friendly, careful and active listener, multi-tasking",not mentioned
452,5,Bachelors,"victim advocacy, social work, multicultural advocacy, case management, counseling, translation, and interpretation
* skills: case management, interpersonal skills, crisis intervention, client relations, databases, decision making, adaptable, self-motivated, creative problem solving, bilingual, translation and interpretation, legal navigation, public speaking, team player, computer proficient, file/records maintenance, organizational skills","case management, interpersonal skills, crisis intervention, client relations, databases, decision making, adaptable, self-motivated, creative problem solving, bilingual, translation and interpretation, legal navigation, public speaking, team player, computer proficient, file/records maintenance, organizational skills",spanish and english
453,9,None,"customer service, banking, retail
* skills: atm, auditing, call center, cash handling, cash register, credit, client, customer satisfaction, excellent customer service, customer service, debit, fashion, fsa, inventory, money, negotiating, policies, research, safety, selling, sales, supervising, tax","atm, auditing, call center, cash handling, cash register, credit, client, customer satisfaction, excellent customer service, customer service, debit, fashion, fsa, inventory, money, negotiating, policies, research, safety, selling, sales, supervising, tax",not specified
454,4,None,"customer service, sales, food service
* skills: calculators, cash registers, closing, cooking, credit, funds, inventory, issue receipts, mark, money, windows, nice, paint, policies, quality, maintain records, safety, sales, tables, team work, wise, written","calculators, cash registers, closing, cooking, credit, funds, inventory, issue receipts, mark, money, windows, nice, paint, policies, quality, maintain records, safety, sales, tables, team work, wise, written",not specified
455,7,None,"patient advocacy, insurance, debt collection, healthcare
* skills: customer service, problem solving, organization, bilingual, training development, scheduling, credit card processing","customer service, problem solving, organization, bilingual, training development, scheduling, credit card processing",not specified
456,13,None,"customer service, sales, insurance, healthcare, mortgage
* skills: ms office, ms excel, ms powerpoint, ms publisher, ms word, outlook, data entry, customer service, employee training, human resource, medical billing and coding, mortgage loans, negotiating, networking, office management","ms office, ms excel, ms powerpoint, ms publisher, ms word, outlook, data entry, customer service, employee training, human resource, medical billing and coding, mortgage loans, negotiating, networking, office management",not specified
457,11,Bachelors,"criminal justice, mental health
* skills: streamline, budget, interpersonal skills, computer-literate, contracts, cpr, notes, managing, meetings, mental health, organizational skills, problem-solver, processes, reporting, supervision","streamline, budget, interpersonal skills, computer-literate, contracts, cpr, notes, managing, meetings, mental health, organizational skills, problem-solver, processes, reporting, supervision",not specified
458,8,Masters,"victim advocate, residential advocate, deli clerk, volunteer kennell attendant, support analyst
* skills: clerk, heavy machinery, forensic, security, community outreach, compensation, filing, multi-line phone, phone system, operations, training","clerk, heavy machinery, forensic, security, community outreach, compensation, filing, multi-line phone, phone system, operations, training",not specified
459,19,Masters,"healthcare, insurance, business, administration
* skills: accounts payables, accounts receivables, administrative, benefits, billing, oral, customer service, customer support, database, documentation, financial, forms, hiring, insurance, director, meetings, office, network, nursing, personnel, policies, presentations, protocols, speech, statistics, training programs","accounts payables, accounts receivables, administrative, benefits, billing, oral, customer service, customer support, database, documentation, financial, forms, hiring, insurance, director, meetings, office, network, nursing, personnel, policies, presentations, protocols, speech, statistics, training programs",not specified
460,8,Masters,"family advocacy, patient care advocacy, resident director/advisor
* skills: interpersonal, ms office, benefit servicing, customer service, case management, medical terminology, team leadership, negotiation, active listening, conflict resolution, troubleshooting, telecommunication","interpersonal, ms office, benefit servicing, customer service, case management, medical terminology, team leadership, negotiation, active listening, conflict resolution, troubleshooting, telecommunication",not specified
461,7,Masters,"healthcare, customer relations, pharmacy
* skills: allergies, attention to detail, cpt, clients, emotional support, forms, home health, hospice, icd-9, ids, insurance, leadership, law, medical terminology, coordinate patient care, processes, coding, quality assurance, safety, self-motivated, team player, type, written","allergies, attention to detail, cpt, clients, emotional support, forms, home health, hospice, icd-9, ids, insurance, leadership, law, medical terminology, coordinate patient care, processes, coding, quality assurance, safety, self-motivated, team player, type, written",not specified
462,11,Bachelors,"community advocacy, volunteer coordination, administrative assistance, retention specialist
* skills: administrative support, counseling, creativity, client, clients, customer services, data entry, database, event planning, financial, fund raising, leadership skills, leadership training, materials, mental health, excel, mail, microsoft office, outlook, powerpoint, publisher, word, neat, cameras, policies, presentations, program development, progress, quickbooks, reporting, risk management, safety, sound, phones, trauma, type 50 wpm, vision","administrative support, counseling, creativity, client, clients, customer services, data entry, database, event planning, financial, fund raising, leadership skills, leadership training, materials, mental health, excel, mail, microsoft office, outlook, powerpoint, publisher, word, neat, cameras, policies, presentations, program development, progress, quickbooks, reporting, risk management, safety, sound, phones, trauma, type 50 wpm, vision",not specified
463,11,None,"shelter advocacy, municipal court clerk, lead teller
* skills: 10 key, adding machine, approach, agency, banking, basic, bonds, case management, cash handling, clerical, conflict resolution, copying, counseling, crisis intervention, client, clients, customer service, data entry, driving, faxing, filing, financial, forms, fundraising, law enforcement, legal, letters, director, meetings, access, microsoft excel, money, office, powerpoint, microsoft word, works, multi-tasking, organizing, personnel, police, policies, presentations, public relations, receiving, record keeping, recruiting, reporting, researching, safety, scanning, secretarial, statistics, supervisor, supervisory, supervising, taking messages, phone, typing","10 key, adding machine, approach, agency, banking, basic, bonds, case management, cash handling, clerical, conflict resolution, copying, counseling, crisis intervention, client, clients, customer service, data entry, driving, faxing, filing, financial, forms, fundraising, law enforcement, legal, letters, director, meetings, access, microsoft excel, money, office, powerpoint, microsoft word, works, multi-tasking, organizing, personnel, police, policies, presentations, public relations, receiving, record keeping, recruiting, reporting, researching, safety, scanning, secretarial, statistics, supervisor, supervisory, supervising, taking messages, phone, typing",not specified
464,30,Masters,"education, administrative support, team leadership, sales, loan review support
* skills: data entry, microsoft office, research, writing, communication, leadership, organization, problem solving, time management","data entry, microsoft office, research, writing, communication, leadership, organization, problem solving, time management",not specified
465,15,None,"retail, real estate, medical, insurance, sales, customer service
* skills: anatomy, basic, billing, call center, charts, interpersonal, customer service, data entry, decision making, delivery, documentation, ekg's, medical terminology, monitors, organizational skills, paralegal, phlebotomy, positioning, research, safety, telephone, typing","anatomy, basic, billing, call center, charts, interpersonal, customer service, data entry, decision making, delivery, documentation, ekg's, medical terminology, monitors, organizational skills, paralegal, phlebotomy, positioning, research, safety, telephone, typing",not specified
466,17,None,"patient advocacy, case management, client advocacy, office administration, correctional officer, point of sale supervisor, child advocate
* skills: public relations, case management, client advocacy","public relations, case management, client advocacy",not specified
467,8,Bachelors,"customer service, education, childcare
* skills: problem solving, adaptability, collaboration, time management, leadership","problem solving, adaptability, collaboration, time management, leadership",not mentioned
468,8,Bachelors,"manufacturing, it, finance, sales, supply chain
* skills: customer service, self starter, team player, analytics","customer service, self starter, team player, analytics","english (90%), portuguese (60%)"
469,16,Bachelors,"disability advocacy, public health, human resources
* skills: administrative, c, community health, clients, direction, logistics, meetings, mentor, needs assessment, processes, public relations, quantitative analysis, simulation, treatment plans","administrative, c, community health, clients, direction, logistics, meetings, mentor, needs assessment, processes, public relations, quantitative analysis, simulation, treatment plans",not specified
470,10,Masters,"human services, healthcare, sociology
* skills: conflict resolution, organizational, interpersonal communication, excellent oral, critical thinking, excellent customer service, customer care, database management, detail oriented, ekg's, medical terminology, leadership, time management, trainer, treatment plans","conflict resolution, organizational, interpersonal communication, excellent oral, critical thinking, excellent customer service, customer care, database management, detail oriented, ekg's, medical terminology, leadership, time management, trainer, treatment plans",not specified
471,25,Bachelors,"healthcare, business analysis, information systems
* skills: data analysis, business artifacts documentation, strategic planning, business development, team player, workflow analysis, product launches, brand management, ms project, sql and databases, risk mitigation and management, data mapping, service-oriented architecture, release planning, collaboration tools, test case scenarios, requirements gathering, gap analysis","data analysis, business artifacts documentation, strategic planning, business development, team player, workflow analysis, product launches, brand management, ms project, sql and databases, risk mitigation and management, data mapping, service-oriented architecture, release planning, collaboration tools, test case scenarios, requirements gathering, gap analysis",not specified
472,8,Bachelors,"education, youth development, community engagement, leadership development
* skills: academic, administrative, leadership, problem solving, tutoring, mentoring, spanish","academic, administrative, leadership, problem solving, tutoring, mentoring, spanish",spanish
473,12,Bachelors,"education, sales, retail, warehouse, shipping, receiving, promotions, coaching, mentoring
* skills: handle cash, coaching, credit, customer satisfaction, customer service, delivery, inventory, mentoring, merchandising, networking, organizing, quality, selling, sales, shipping","handle cash, coaching, credit, customer satisfaction, customer service, delivery, inventory, mentoring, merchandising, networking, organizing, quality, selling, sales, shipping",not specified
474,18,None,"logistics/distribution management, medical device repair technician, production/operations supervisor, shipping/receiving supervisor, customer service representative
* skills: army, benefits, billing, blueprints, call center, catalogs, coaching, customer service, financial, hand tools, inspect, logistics, mechanical, mail, power tools, quality, read, recording, research, safety, scheduling, soldering, solder, supply chain management, phone, troubleshooting, typing, wiring","army, benefits, billing, blueprints, call center, catalogs, coaching, customer service, financial, hand tools, inspect, logistics, mechanical, mail, power tools, quality, read, recording, research, safety, scheduling, soldering, solder, supply chain management, phone, troubleshooting, typing, wiring",not specified
475,8,Bachelors,"social work, sales
* skills: microsoft office, word, excel, outlook, customer service, report and assessment writing, case management, crisis intervention","microsoft office, word, excel, outlook, customer service, report and assessment writing, case management, crisis intervention",spanish/english (bilingual)
476,8,Bachelors,"customer support, technology support, installations, electronics sales
* skills: active directory, anti-virus, audio, cables, cabling, hardware upgrades, computer hardware, client, clients, database, documentation, editing, e-mail, email, frontpage, ghost, html, php, javascript, linux, mac, macintosh, messaging, access, excel, mail, microsoft office suite, office, windows operating systems, outlook, powerpoint, publisher, win, win7, win8, word, network wiring, network, networking, operating systems, operating system, pc's, pc components, peripherals, processes, coding, programming, python, raid, redhat, routing, sound, tcp/ip networking, telephone, tv, television, troubleshoot, troubleshooting, upgrading, upgrade, video, vista","active directory, anti-virus, audio, cables, cabling, hardware upgrades, computer hardware, client, clients, database, documentation, editing, e-mail, email, frontpage, ghost, html, php, javascript, linux, mac, macintosh, messaging, access, excel, mail, microsoft office suite, office, windows operating systems, outlook, powerpoint, publisher, win, win7, win8, word, network wiring, network, networking, operating systems, operating system, pc's, pc components, peripherals, processes, coding, programming, python, raid, redhat, routing, sound, tcp/ip networking, telephone, tv, television, troubleshoot, troubleshooting, upgrading, upgrade, video, vista",not specified
477,15,Masters,"customer service, management, project coordination, procurement, account management, administrative assistant, dispatcher, customer service/dispatch manager, seasonal department manager, cooking
* skills: account management, administrative assistant, analyst, communication skills, computer applications, cooking, customer relationship management, customer service, data entry, filing, government, inventory, materials, microsoft applications, microsoft excel, microsoft office, microsoft outlook, people soft, presentation skills, procurement, public speaking, sales, scheduling, security clearance, phone skills, phone etiquette","account management, administrative assistant, analyst, communication skills, computer applications, cooking, customer relationship management, customer service, data entry, filing, government, inventory, materials, microsoft applications, microsoft excel, microsoft office, microsoft outlook, people soft, presentation skills, procurement, public speaking, sales, scheduling, security clearance, phone skills, phone etiquette",english (fluent)
478,16,None,"customer service, utility office, affordable care reform, marketplace operations
* skills: accounting, accounts to, basis, billing, customer inquiries, customer service, inventory, invoices, invoicing, payments, receptionist, retail sales, scheduling, shipping, the accounting, account analysis, archiving, cash, cash management, clerical, credit, credit card, customer service representative, data archiving, data integrity, detail-oriented, etiquette, filing, forecasting, invoice, ms office, operations, peoplesoft, phone etiquette, powerpoint, problem solver, time management","accounting, accounts to, basis, billing, customer inquiries, customer service, inventory, invoices, invoicing, payments, receptionist, retail sales, scheduling, shipping, the accounting, account analysis, archiving, cash, cash management, clerical, credit, credit card, customer service representative, data archiving, data integrity, detail-oriented, etiquette, filing, forecasting, invoice, ms office, operations, peoplesoft, phone etiquette, powerpoint, problem solver, time management",not specified
479,8,Masters,"child advocacy, data processing, seasonal activities coordination, assistant management, professional international athlete, rental agency
* skills: strong work ethnic, adaptability, professionalism, honesty and integrity, willingness to learn","strong work ethnic, adaptability, professionalism, honesty and integrity, willingness to learn",not specified
480,17,None,"child family advocacy, customer service, banking, administration
* skills: scheduling appointments, as 400, budgets, call center, customer service, financial, funds, labor relations, leadership, sales","scheduling appointments, as 400, budgets, call center, customer service, financial, funds, labor relations, leadership, sales",not mentioned
481,37,None,"customer service, sales, retail, data entry, loan servicing
* skills: computer literate, telephone skills, creative problem solving, resolving cash receipt discrepancies, strong communication skills, careful and active listener, customer satisfaction training, excellent customer service skills, ms office proficient","computer literate, telephone skills, creative problem solving, resolving cash receipt discrepancies, strong communication skills, careful and active listener, customer satisfaction training, excellent customer service skills, ms office proficient",not specified
482,18,Bachelors,"customer service, medical clerical, surgery scheduling, office assistant, healthcare administration
* skills: scheduling, strong verbal skills, excellent written skills, icd-9 and cpt coding","scheduling, strong verbal skills, excellent written skills, icd-9 and cpt coding",not specified
483,11,Masters,"quality assurance, sales, leasing, human resources, it, military
* skills: administrative, auditing, billing, customer service, data entry, database, filing, finance, human resources management, inventory, marketing, mentoring, order entry, personnel, policies, pricing, problem solving, processes, quality, receiving, recording, sales, servers, speech, staff training, supervisor, phone, trend, troubleshooting, video","administrative, auditing, billing, customer service, data entry, database, filing, finance, human resources management, inventory, marketing, mentoring, order entry, personnel, policies, pricing, problem solving, processes, quality, receiving, recording, sales, servers, speech, staff training, supervisor, phone, trend, troubleshooting, video",not specified
484,12,Bachelors,"financial professional, event planner, manager assistant, cashier, court appointed special advocate
* skills: chinese, conferences, clients, english, meetings, access, excel, microsoft office, powerpoint, word, business presentations, progress, quality, strategy","chinese, conferences, clients, english, meetings, access, excel, microsoft office, powerpoint, word, business presentations, progress, quality, strategy","english, chinese"
